2024/08/31 22:35:15 | 200 |   0.02ms |     [::1]:52337 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.06ms |     [::1]:52340 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.07ms |     [::1]:52339 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52341 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52347 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52346 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52345 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52344 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52343 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52342 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52351 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52349 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52348 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52350 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52352 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52354 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52358 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52362 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.04ms |     [::1]:52353 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52357 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52360 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52356 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52361 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52355 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.20ms |     [::1]:52359 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52363 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52366 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.04ms |     [::1]:52364 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.04ms |     [::1]:52367 | GET /api/cache
